Sample1	Sample2	Distance	Mismatches
pt55	pt56	6608.00	0.36985
pt55	pt57	5410.00	0.33577
pt55	pt58	11489.00	0.59922
pt55	pt59	4265.00	0.58133
pt55	pt60	4265.00	0.58080
pt55	pt61	4261.00	0.58341
pt55	pt62	6426.00	0.34280
pt55	pt63	7056.00	0.35629
pt55	pt64	4262.00	0.57989
pt55	pt65	11478.00	0.53743
pt55	pt66	10397.00	0.57557
pt55	pt67	11799.00	0.52712
pt55	pt68	6742.00	0.36120
pt55	pt69	4262.00	0.58188
pt55	pt70	6835.00	0.35849
pt55	pt71	11646.00	0.59280
pt55	pt72	6863.00	0.37100
pt55	pt73	10362.00	0.58932
pt55	pt74	4261.00	0.58332
pt55	pt75	4265.00	0.58066
pt55	pt76	4261.00	0.57823
pt55	pt77	6913.00	0.45946
pt55	pt78	11796.00	0.52839
pt55	pt79	4264.00	0.57942
pt55	pt80	6732.00	0.34514
pt55	pt81	11314.00	0.58682
pt55	pt82	2.00	0.04959
pt55	pt83	7146.00	0.37734
pt55	pt84	6607.00	0.34976
pt55	pt85	6783.00	0.35341
pt55	pt86	6526.00	0.40544
pt55	pt87	4394.00	0.59432
pt55	pt88	6794.00	0.41482
pt55	pt90	7053.00	0.39448
pt55	pt91	11526.00	0.61198
pt55	pt92	10407.00	0.59802
pt55	pt93	11460.00	0.55980
pt55	pt94	6641.00	0.40846
pt55	pt95	6903.00	0.39871
pt56	pt57	5697.00	0.32984
pt56	pt58	12121.00	0.59926
pt56	pt59	4691.00	0.57377
pt56	pt60	4696.00	0.57351
pt56	pt61	4692.00	0.57504
pt56	pt62	6819.00	0.32464
pt56	pt63	7228.00	0.33117
pt56	pt64	4691.00	0.57353
pt56	pt65	11884.00	0.53229
pt56	pt66	10816.00	0.57121
pt56	pt67	12112.00	0.52688
pt56	pt68	7141.00	0.35060
pt56	pt69	4684.00	0.57440
pt56	pt70	7148.00	0.35400
pt56	pt71	12098.00	0.59527
pt56	pt72	6758.00	0.34161
pt56	pt73	10834.00	0.57954
pt56	pt74	4696.00	0.57518
pt56	pt75	4692.00	0.57347
pt56	pt76	4684.00	0.57488
pt56	pt77	7488.00	0.44455
pt56	pt78	12110.00	0.52628
pt56	pt79	4690.00	0.57324
pt56	pt80	7100.00	0.34057
pt56	pt81	11845.00	0.57879
pt56	pt82	6902.00	0.34888
pt56	pt83	7301.00	0.34955
pt56	pt84	7068.00	0.34385
pt56	pt85	7228.00	0.34561
pt56	pt86	6791.00	0.40218
pt56	pt87	4655.00	0.58677
pt56	pt88	6871.00	0.39867
pt56	pt90	7230.00	0.36644
pt56	pt91	12219.00	0.60227
pt56	pt92	10851.00	0.59004
pt56	pt93	12016.00	0.54682
pt56	pt94	6749.00	0.39032
pt56	pt95	6822.00	0.36297
pt57	pt58	9789.00	0.59204
pt57	pt59	311.00	0.56583
pt57	pt60	313.00	0.56580
pt57	pt61	309.00	0.56690
pt57	pt62	5519.00	0.30564
pt57	pt63	6246.00	0.32166
pt57	pt64	312.00	0.56602
pt57	pt65	9699.00	0.52498
pt57	pt66	8321.00	0.56647
pt57	pt67	10087.00	0.51172
pt57	pt68	5936.00	0.33111
pt57	pt69	306.00	0.56633
pt57	pt70	5967.00	0.33047
pt57	pt71	9884.00	0.58287
pt57	pt72	5976.00	0.34232
pt57	pt73	8283.00	0.57931
pt57	pt74	313.00	0.56699
pt57	pt75	317.00	0.56577
pt57	pt76	304.00	0.56806
pt57	pt77	371.00	0.30054
pt57	pt78	10086.00	0.51067
pt57	pt79	308.00	0.56568
pt57	pt80	5999.00	0.32103
pt57	pt81	9491.00	0.57277
pt57	pt82	5677.00	0.31241
pt57	pt83	6264.00	0.34617
pt57	pt84	5882.00	0.32706
pt57	pt85	5979.00	0.33033
pt57	pt86	5756.00	0.38013
pt57	pt87	533.00	0.57514
pt57	pt88	5810.00	0.38485
pt57	pt90	6246.00	0.35555
pt57	pt91	9856.00	0.59384
pt57	pt92	8347.00	0.58564
pt57	pt93	9647.00	0.54028
pt57	pt94	5512.00	0.36887
pt57	pt95	5959.00	0.36834
pt58	pt59	10433.00	0.55569
pt58	pt60	10418.00	0.55560
pt58	pt61	10432.00	0.55691
pt58	pt62	12049.00	0.58913
pt58	pt63	12297.00	0.59348
pt58	pt64	10440.00	0.55563
pt58	pt65	13875.00	0.58400
pt58	pt66	13745.00	0.55182
pt58	pt67	14060.00	0.57458
pt58	pt68	11938.00	0.60262
pt58	pt69	10412.00	0.55622
pt58	pt70	12043.00	0.60043
pt58	pt71	860.00	0.08364
pt58	pt72	12049.00	0.60945
pt58	pt73	13886.00	0.55655
pt58	pt74	10437.00	0.55683
pt58	pt75	10435.00	0.55545
pt58	pt76	10415.00	0.55740
pt58	pt77	13859.00	0.57470
pt58	pt78	14069.00	0.57370
pt58	pt79	10430.00	0.55541
pt58	pt80	11982.00	0.59834
pt58	pt81	14216.00	0.57304
pt58	pt82	11968.00	0.58709
pt58	pt83	12409.00	0.60627
pt58	pt84	11874.00	0.60487
pt58	pt85	11980.00	0.60065
pt58	pt86	11770.00	0.62442
pt58	pt87	10523.00	0.56669
pt58	pt88	12130.00	0.62029
pt58	pt90	12300.00	0.60990
pt58	pt91	854.00	0.11686
pt58	pt92	13806.00	0.57040
pt58	pt93	13982.00	0.59264
pt58	pt94	11689.00	0.62837
pt58	pt95	12166.00	0.61947
pt59	pt60	7.00	0.01920
pt59	pt61	4.00	0.02291
pt59	pt62	4566.00	0.56464
pt59	pt63	4895.00	0.56499
pt59	pt64	4.00	0.01683
pt59	pt65	8892.00	0.55579
pt59	pt66	9033.00	0.47884
pt59	pt67	8985.00	0.55183
pt59	pt68	4738.00	0.57208
pt59	pt69	6.00	0.02097
pt59	pt70	4786.00	0.57171
pt59	pt71	10453.00	0.54753
pt59	pt72	4775.00	0.58104
pt59	pt73	9117.00	0.48857
pt59	pt74	6.00	0.02339
pt59	pt75	7.00	0.01721
pt59	pt76	9.00	0.01800
pt59	pt77	60.00	0.28732
pt59	pt78	8989.00	0.55090
pt59	pt79	6.00	0.01592
pt59	pt80	4758.00	0.56461
pt59	pt81	9977.00	0.54504
pt59	pt82	4511.00	0.56795
pt59	pt83	5080.00	0.57544
pt59	pt84	4669.00	0.56950
pt59	pt85	4739.00	0.57302
pt59	pt86	4698.00	0.59699
pt59	pt87	327.00	0.10743
pt59	pt88	4691.00	0.60209
pt59	pt90	4899.00	0.58310
pt59	pt91	10434.00	0.55990
pt59	pt92	9090.00	0.50361
pt59	pt93	8894.00	0.57043
pt59	pt94	4438.00	0.59699
pt59	pt95	4966.00	0.59210
pt60	pt61	6.00	0.02404
pt60	pt62	4563.00	0.56435
pt60	pt63	4900.00	0.56490
pt60	pt64	5.00	0.01692
pt60	pt65	8880.00	0.55552
pt60	pt66	9015.00	0.47858
pt60	pt67	8971.00	0.55168
pt60	pt68	4740.00	0.57195
pt60	pt69	7.00	0.02179
pt60	pt70	4786.00	0.57162
pt60	pt71	10435.00	0.54766
pt60	pt72	4768.00	0.58082
pt60	pt73	9096.00	0.48850
pt60	pt74	8.00	0.02435
pt60	pt75	9.00	0.01764
pt60	pt76	11.00	0.01770
pt60	pt77	58.00	0.28782
pt60	pt78	8975.00	0.55089
pt60	pt79	7.00	0.01612
pt60	pt80	4764.00	0.56432
pt60	pt81	9978.00	0.54434
